State,Year,Quater,District,Users
Himachal Pradesh,2022,4,solan district,479537
Himachal Pradesh,2022,4,sirmaur district,179223
Himachal Pradesh,2022,4,shimla district,308448
Himachal Pradesh,2022,4,bilaspur district,120345
Himachal Pradesh,2022,4,hamirpur district,167686
Himachal Pradesh,2022,4,una district,154314
Himachal Pradesh,2022,4,kangra district,468410
Himachal Pradesh,2022,4,kullu district,162922
Himachal Pradesh,2022,4,mandi district,284425
Himachal Pradesh,2022,4,lahul and spiti district,6057
Himachal Pradesh,2022,4,chamba district,118985
Himachal Pradesh,2022,4,kinnaur district,32724
Jammu & Kashmir,2018,1,muzaffarabad district,41
Jammu & Kashmir,2018,1,doda district,2648
Jammu & Kashmir,2018,1,samba district,6534
Jammu & Kashmir,2018,1,mirpur district,544
Jammu & Kashmir,2018,1,srinagar district,18233
Jammu & Kashmir,2018,1,baramulla district,16299
Jammu & Kashmir,2018,1,jammu district,45294
Jammu & Kashmir,2018,1,ganderbal district,4117
Jammu & Kashmir,2018,1,udhampur district,8457
Jammu & Kashmir,2018,1,bandipore district,4609
Jammu & Kashmir,2018,1,reasi district,3583
Jammu & Kashmir,2018,1,shopian district,2537
Jammu & Kashmir,2018,1,poonch district,2539
Jammu & Kashmir,2018,1,kathua district,8039
Jammu & Kashmir,2018,1,kishtwar district,1298
Jammu & Kashmir,2018,1,pulwama district,8441
Jammu & Kashmir,2018,1,ramban district,1876
Jammu & Kashmir,2018,1,rajouri district,5232
Jammu & Kashmir,2018,1,kulgam district,5700
Jammu & Kashmir,2018,1,budgam district,11594
Jammu & Kashmir,2018,1,anantnag district,11556
Jammu & Kashmir,2018,1,kupwara district,7254
Jammu & Kashmir,2018,2,muzaffarabad district,57
Jammu & Kashmir,2018,2,doda district,4031
Jammu & Kashmir,2018,2,samba district,9601
Jammu & Kashmir,2018,2,mirpur district,795
Jammu & Kashmir,2018,2,srinagar district,27035
Jammu & Kashmir,2018,2,baramulla district,25870
Jammu & Kashmir,2018,2,jammu district,64681
Jammu & Kashmir,2018,2,ganderbal district,6212
Jammu & Kashmir,2018,2,udhampur district,12195
Jammu & Kashmir,2018,2,bandipore district,7527
Jammu & Kashmir,2018,2,reasi district,5168
Jammu & Kashmir,2018,2,shopian district,3522
Jammu & Kashmir,2018,2,poonch district,4152
Jammu & Kashmir,2018,2,kathua district,11778
Jammu & Kashmir,2018,2,kishtwar district,2006
Jammu & Kashmir,2018,2,pulwama district,12218
Jammu & Kashmir,2018,2,ramban district,2925
Jammu & Kashmir,2018,2,rajouri district,8035
Jammu & Kashmir,2018,2,kulgam district,8137
Jammu & Kashmir,2018,2,budgam district,17809
Jammu & Kashmir,2018,2,anantnag district,16373
Jammu & Kashmir,2018,2,kupwara district,11482
Jammu & Kashmir,2018,3,muzaffarabad district,89
Jammu & Kashmir,2018,3,doda district,5618
Jammu & Kashmir,2018,3,samba district,13304
Jammu & Kashmir,2018,3,mirpur district,1133
Jammu & Kashmir,2018,3,srinagar district,35583
Jammu & Kashmir,2018,3,baramulla district,31069
Jammu & Kashmir,2018,3,jammu district,86877
Jammu & Kashmir,2018,3,ganderbal district,7627
Jammu & Kashmir,2018,3,udhampur district,16058
Jammu & Kashmir,2018,3,bandipore district,8792
Jammu & Kashmir,2018,3,reasi district,7010
Jammu & Kashmir,2018,3,shopian district,4698
Jammu & Kashmir,2018,3,poonch district,6243
Jammu & Kashmir,2018,3,kathua district,15849
Jammu & Kashmir,2018,3,kishtwar district,2822
Jammu & Kashmir,2018,3,pulwama district,15427
Jammu & Kashmir,2018,3,ramban district,4202
Jammu & Kashmir,2018,3,rajouri district,11534
Jammu & Kashmir,2018,3,kulgam district,10305
Jammu & Kashmir,2018,3,budgam district,22301
Jammu & Kashmir,2018,3,anantnag district,20234
Jammu & Kashmir,2018,3,kupwara district,15754
Jammu & Kashmir,2018,4,muzaffarabad district,136
Jammu & Kashmir,2018,4,doda district,7669
Jammu & Kashmir,2018,4,samba district,17595
Jammu & Kashmir,2018,4,mirpur district,1515
Jammu & Kashmir,2018,4,srinagar district,44328
Jammu & Kashmir,2018,4,baramulla district,37661
Jammu & Kashmir,2018,4,jammu district,113005
Jammu & Kashmir,2018,4,ganderbal district,9327
Jammu & Kashmir,2018,4,udhampur district,21123
Jammu & Kashmir,2018,4,bandipore district,10397
Jammu & Kashmir,2018,4,reasi district,9290
Jammu & Kashmir,2018,4,shopian district,5919
Jammu & Kashmir,2018,4,poonch district,8555
Jammu & Kashmir,2018,4,kathua district,21030
Jammu & Kashmir,2018,4,kishtwar district,3753
Jammu & Kashmir,2018,4,pulwama district,18846
Jammu & Kashmir,2018,4,ramban district,5615
Jammu & Kashmir,2018,4,rajouri district,15661
Jammu & Kashmir,2018,4,kulgam district,12488
Jammu & Kashmir,2018,4,budgam district,27710
Jammu & Kashmir,2018,4,anantnag district,24448
Jammu & Kashmir,2018,4,kupwara district,20492
Jammu & Kashmir,2019,1,muzaffarabad district,170
Jammu & Kashmir,2019,1,doda district,9896
Jammu & Kashmir,2019,1,samba district,21495
Jammu & Kashmir,2019,1,mirpur district,1891
Jammu & Kashmir,2019,1,srinagar district,52762
Jammu & Kashmir,2019,1,baramulla district,45150
Jammu & Kashmir,2019,1,jammu district,134408
Jammu & Kashmir,2019,1,ganderbal district,11236
Jammu & Kashmir,2019,1,udhampur district,25515
Jammu & Kashmir,2019,1,bandipore district,12419
Jammu & Kashmir,2019,1,reasi district,11440
Jammu & Kashmir,2019,1,shopian district,7625
Jammu & Kashmir,2019,1,poonch district,10838
Jammu & Kashmir,2019,1,kathua district,25620
Jammu & Kashmir,2019,1,kishtwar district,4732
Jammu & Kashmir,2019,1,pulwama district,23230
Jammu & Kashmir,2019,1,ramban district,7125
Jammu & Kashmir,2019,1,rajouri district,19212
Jammu & Kashmir,2019,1,kulgam district,16003
Jammu & Kashmir,2019,1,budgam district,34255
Jammu & Kashmir,2019,1,anantnag district,30103
Jammu & Kashmir,2019,1,kupwara district,25544
Jammu & Kashmir,2019,2,muzaffarabad district,216
Jammu & Kashmir,2019,2,doda district,12220
Jammu & Kashmir,2019,2,samba district,25990
Jammu & Kashmir,2019,2,mirpur district,2250
Jammu & Kashmir,2019,2,srinagar district,62190
Jammu & Kashmir,2019,2,baramulla district,53196
Jammu & Kashmir,2019,2,jammu district,160241
Jammu & Kashmir,2019,2,ganderbal district,13224
Jammu & Kashmir,2019,2,udhampur district,29856
Jammu & Kashmir,2019,2,bandipore district,14951
Jammu & Kashmir,2019,2,reasi district,13784
Jammu & Kashmir,2019,2,shopian district,8946
Jammu & Kashmir,2019,2,poonch district,13450
Jammu & Kashmir,2019,2,kathua district,30602
Jammu & Kashmir,2019,2,kishtwar district,6001
Jammu & Kashmir,2019,2,pulwama district,27167
Jammu & Kashmir,2019,2,ramban district,8694
Jammu & Kashmir,2019,2,rajouri district,23118
Jammu & Kashmir,2019,2,kulgam district,18853
Jammu & Kashmir,2019,2,budgam district,39965
Jammu & Kashmir,2019,2,anantnag district,35488
Jammu & Kashmir,2019,2,kupwara district,30791
Jammu & Kashmir,2019,3,muzaffarabad district,207
Jammu & Kashmir,2019,3,doda district,12682
Jammu & Kashmir,2019,3,samba district,27579
Jammu & Kashmir,2019,3,mirpur district,2372
Jammu & Kashmir,2019,3,srinagar district,64758
Jammu & Kashmir,2019,3,baramulla district,54404
Jammu & Kashmir,2019,3,jammu district,169849
Jammu & Kashmir,2019,3,ganderbal district,13453
Jammu & Kashmir,2019,3,udhampur district,31297
Jammu & Kashmir,2019,3,bandipore district,15313
Jammu & Kashmir,2019,3,reasi district,14489
Jammu & Kashmir,2019,3,shopian district,9142
Jammu & Kashmir,2019,3,poonch district,14139
Jammu & Kashmir,2019,3,kathua district,32213
Jammu & Kashmir,2019,3,kishtwar district,6229
Jammu & Kashmir,2019,3,pulwama district,27963
Jammu & Kashmir,2019,3,ramban district,9065
Jammu & Kashmir,2019,3,rajouri district,24275
Jammu & Kashmir,2019,3,kulgam district,19220
Jammu & Kashmir,2019,3,budgam district,41004
Jammu & Kashmir,2019,3,anantnag district,36371
Jammu & Kashmir,2019,3,kupwara district,32431
Jammu & Kashmir,2019,4,muzaffarabad district,223
Jammu & Kashmir,2019,4,doda district,13016
Jammu & Kashmir,2019,4,samba district,28333
Jammu & Kashmir,2019,4,mirpur district,2521
Jammu & Kashmir,2019,4,srinagar district,65611
Jammu & Kashmir,2019,4,baramulla district,55042
Jammu & Kashmir,2019,4,jammu district,174858
Jammu & Kashmir,2019,4,ganderbal district,13506
Jammu & Kashmir,2019,4,udhampur district,32252
Jammu & Kashmir,2019,4,bandipore district,15366
Jammu & Kashmir,2019,4,reasi district,15021
Jammu & Kashmir,2019,4,shopian district,9308
Jammu & Kashmir,2019,4,poonch district,14810
Jammu & Kashmir,2019,4,kathua district,33481
Jammu & Kashmir,2019,4,kishtwar district,6397
Jammu & Kashmir,2019,4,pulwama district,28336
Jammu & Kashmir,2019,4,ramban district,9304
Jammu & Kashmir,2019,4,rajouri district,25297
Jammu & Kashmir,2019,4,kulgam district,19304
Jammu & Kashmir,2019,4,budgam district,41377
Jammu & Kashmir,2019,4,anantnag district,36725
Jammu & Kashmir,2019,4,kupwara district,33279
Jammu & Kashmir,2020,1,muzaffarabad district,240
Jammu & Kashmir,2020,1,doda district,14537
Jammu & Kashmir,2020,1,samba district,31570
Jammu & Kashmir,2020,1,mirpur district,2835
Jammu & Kashmir,2020,1,srinagar district,70755
Jammu & Kashmir,2020,1,baramulla district,59123
Jammu & Kashmir,2020,1,jammu district,191031
Jammu & Kashmir,2020,1,ganderbal district,14573
Jammu & Kashmir,2020,1,udhampur district,35408
Jammu & Kashmir,2020,1,bandipore district,16451
Jammu & Kashmir,2020,1,reasi district,16592
Jammu & Kashmir,2020,1,shopian district,10313
Jammu & Kashmir,2020,1,poonch district,16495
Jammu & Kashmir,2020,1,kathua district,37300
Jammu & Kashmir,2020,1,kishtwar district,7124
Jammu & Kashmir,2020,1,pulwama district,30796
Jammu & Kashmir,2020,1,ramban district,10267
Jammu & Kashmir,2020,1,rajouri district,28089
Jammu & Kashmir,2020,1,kulgam district,21070
Jammu & Kashmir,2020,1,budgam district,44636
Jammu & Kashmir,2020,1,anantnag district,39513
Jammu & Kashmir,2020,1,kupwara district,36690
Jammu & Kashmir,2020,2,muzaffarabad district,266
Jammu & Kashmir,2020,2,doda district,17896
Jammu & Kashmir,2020,2,samba district,37600
Jammu & Kashmir,2020,2,mirpur district,3522
Jammu & Kashmir,2020,2,srinagar district,78458
Jammu & Kashmir,2020,2,baramulla district,66095
Jammu & Kashmir,2020,2,jammu district,220805
Jammu & Kashmir,2020,2,ganderbal district,16213
Jammu & Kashmir,2020,2,udhampur district,41813
Jammu & Kashmir,2020,2,bandipore district,18357
Jammu & Kashmir,2020,2,reasi district,19514
Jammu & Kashmir,2020,2,shopian district,11870
Jammu & Kashmir,2020,2,poonch district,19815
Jammu & Kashmir,2020,2,kathua district,44719
Jammu & Kashmir,2020,2,kishtwar district,8584
Jammu & Kashmir,2020,2,pulwama district,34565
Jammu & Kashmir,2020,2,ramban district,12068
Jammu & Kashmir,2020,2,rajouri district,33389
Jammu & Kashmir,2020,2,kulgam district,23505
Jammu & Kashmir,2020,2,budgam district,49962
Jammu & Kashmir,2020,2,anantnag district,44423
Jammu & Kashmir,2020,2,kupwara district,41855
Jammu & Kashmir,2020,3,muzaffarabad district,304
Jammu & Kashmir,2020,3,doda district,20833
Jammu & Kashmir,2020,3,samba district,42915
Jammu & Kashmir,2020,3,mirpur district,4128
Jammu & Kashmir,2020,3,srinagar district,87182
Jammu & Kashmir,2020,3,baramulla district,73162
Jammu & Kashmir,2020,3,jammu district,248814
Jammu & Kashmir,2020,3,ganderbal district,18259
Jammu & Kashmir,2020,3,udhampur district,47399
Jammu & Kashmir,2020,3,bandipore district,20153
Jammu & Kashmir,2020,3,reasi district,22063
Jammu & Kashmir,2020,3,shopian district,13294
Jammu & Kashmir,2020,3,poonch district,22704
Jammu & Kashmir,2020,3,kathua district,50914
Jammu & Kashmir,2020,3,kishtwar district,9745
Jammu & Kashmir,2020,3,pulwama district,38434
Jammu & Kashmir,2020,3,ramban district,13674
Jammu & Kashmir,2020,3,rajouri district,38071
Jammu & Kashmir,2020,3,kulgam district,25887
Jammu & Kashmir,2020,3,budgam district,55153
Jammu & Kashmir,2020,3,anantnag district,49443
Jammu & Kashmir,2020,3,kupwara district,47288
Jammu & Kashmir,2020,4,muzaffarabad district,339
Jammu & Kashmir,2020,4,doda district,24095
Jammu & Kashmir,2020,4,samba district,48775
Jammu & Kashmir,2020,4,mirpur district,4799
Jammu & Kashmir,2020,4,srinagar district,98923
Jammu & Kashmir,2020,4,baramulla district,83119
Jammu & Kashmir,2020,4,jammu district,282463
Jammu & Kashmir,2020,4,ganderbal district,20465
Jammu & Kashmir,2020,4,udhampur district,53803
Jammu & Kashmir,2020,4,bandipore district,22721
Jammu & Kashmir,2020,4,reasi district,25147
Jammu & Kashmir,2020,4,shopian district,15234
Jammu & Kashmir,2020,4,poonch district,26045
Jammu & Kashmir,2020,4,kathua district,57651
Jammu & Kashmir,2020,4,kishtwar district,11233
Jammu & Kashmir,2020,4,pulwama district,43139
Jammu & Kashmir,2020,4,ramban district,15548
Jammu & Kashmir,2020,4,rajouri district,43240
Jammu & Kashmir,2020,4,kulgam district,29261
Jammu & Kashmir,2020,4,budgam district,62364
Jammu & Kashmir,2020,4,anantnag district,56211
Jammu & Kashmir,2020,4,kupwara district,54447
Jammu & Kashmir,2021,1,muzaffarabad district,377
Jammu & Kashmir,2021,1,doda district,26460
Jammu & Kashmir,2021,1,samba district,53123
Jammu & Kashmir,2021,1,mirpur district,5198
Jammu & Kashmir,2021,1,srinagar district,107147
Jammu & Kashmir,2021,1,baramulla district,90607
Jammu & Kashmir,2021,1,jammu district,307670
Jammu & Kashmir,2021,1,ganderbal district,22249
Jammu & Kashmir,2021,1,udhampur district,58664
Jammu & Kashmir,2021,1,bandipore district,24662
Jammu & Kashmir,2021,1,reasi district,27524
Jammu & Kashmir,2021,1,shopian district,16657
Jammu & Kashmir,2021,1,poonch district,28300
Jammu & Kashmir,2021,1,kathua district,62777
Jammu & Kashmir,2021,1,kishtwar district,12235
Jammu & Kashmir,2021,1,pulwama district,46731
Jammu & Kashmir,2021,1,ramban district,16907
Jammu & Kashmir,2021,1,rajouri district,47092
Jammu & Kashmir,2021,1,kulgam district,31882
Jammu & Kashmir,2021,1,budgam district,67920
Jammu & Kashmir,2021,1,anantnag district,61151
Jammu & Kashmir,2021,1,kupwara district,59485
Jammu & Kashmir,2021,2,muzaffarabad district,416
Jammu & Kashmir,2021,2,doda district,28542
Jammu & Kashmir,2021,2,samba district,57066
Jammu & Kashmir,2021,2,mirpur district,5662
Jammu & Kashmir,2021,2,srinagar district,114498
Jammu & Kashmir,2021,2,baramulla district,97258
Jammu & Kashmir,2021,2,jammu district,329625
Jammu & Kashmir,2021,2,ganderbal district,23884
Jammu & Kashmir,2021,2,udhampur district,63296
Jammu & Kashmir,2021,2,bandipore district,26435
Jammu & Kashmir,2021,2,reasi district,29716
Jammu & Kashmir,2021,2,shopian district,17933
Jammu & Kashmir,2021,2,poonch district,30575
Jammu & Kashmir,2021,2,kathua district,67569
Jammu & Kashmir,2021,2,kishtwar district,13206
Jammu & Kashmir,2021,2,pulwama district,50038
Jammu & Kashmir,2021,2,ramban district,18253
Jammu & Kashmir,2021,2,rajouri district,50772
Jammu & Kashmir,2021,2,kulgam district,34224
Jammu & Kashmir,2021,2,budgam district,72750
Jammu & Kashmir,2021,2,anantnag district,65592
Jammu & Kashmir,2021,2,kupwara district,63957
Jammu & Kashmir,2021,3,muzaffarabad district,454
Jammu & Kashmir,2021,3,doda district,30988
Jammu & Kashmir,2021,3,samba district,61677
Jammu & Kashmir,2021,3,mirpur district,6201
Jammu & Kashmir,2021,3,srinagar district,122752
Jammu & Kashmir,2021,3,baramulla district,104763
Jammu & Kashmir,2021,3,jammu district,354280
Jammu & Kashmir,2021,3,ganderbal district,25735
Jammu & Kashmir,2021,3,udhampur district,68452
Jammu & Kashmir,2021,3,bandipore district,28469
Jammu & Kashmir,2021,3,reasi district,32275
Jammu & Kashmir,2021,3,shopian district,19343
Jammu & Kashmir,2021,3,poonch district,33277
Jammu & Kashmir,2021,3,kathua district,73280
Jammu & Kashmir,2021,3,kishtwar district,14320
Jammu & Kashmir,2021,3,pulwama district,53876
Jammu & Kashmir,2021,3,ramban district,19751
Jammu & Kashmir,2021,3,rajouri district,55013
Jammu & Kashmir,2021,3,kulgam district,36921
Jammu & Kashmir,2021,3,budgam district,78298
Jammu & Kashmir,2021,3,anantnag district,70633
Jammu & Kashmir,2021,3,kupwara district,69102
Jammu & Kashmir,2021,4,muzaffarabad district,506
Jammu & Kashmir,2021,4,doda district,33427
Jammu & Kashmir,2021,4,samba district,66057
Jammu & Kashmir,2021,4,mirpur district,6709
Jammu & Kashmir,2021,4,srinagar district,130968
Jammu & Kashmir,2021,4,baramulla district,112175
Jammu & Kashmir,2021,4,jammu district,378618
Jammu & Kashmir,2021,4,ganderbal district,27599
Jammu & Kashmir,2021,4,udhampur district,73525
Jammu & Kashmir,2021,4,bandipore district,30502
Jammu & Kashmir,2021,4,reasi district,34767
Jammu & Kashmir,2021,4,shopian district,20780
Jammu & Kashmir,2021,4,poonch district,35913
Jammu & Kashmir,2021,4,kathua district,78693
Jammu & Kashmir,2021,4,kishtwar district,15389
Jammu & Kashmir,2021,4,pulwama district,57630
Jammu & Kashmir,2021,4,ramban district,21283
Jammu & Kashmir,2021,4,rajouri district,59304
Jammu & Kashmir,2021,4,kulgam district,39481
Jammu & Kashmir,2021,4,budgam district,83726
Jammu & Kashmir,2021,4,anantnag district,75622
Jammu & Kashmir,2021,4,kupwara district,74136
Jammu & Kashmir,2022,1,muzaffarabad district,540
Jammu & Kashmir,2022,1,doda district,35680
Jammu & Kashmir,2022,1,samba district,70288
Jammu & Kashmir,2022,1,mirpur district,7177
Jammu & Kashmir,2022,1,srinagar district,138727
Jammu & Kashmir,2022,1,baramulla district,119475
Jammu & Kashmir,2022,1,jammu district,401675
Jammu & Kashmir,2022,1,ganderbal district,29427
Jammu & Kashmir,2022,1,udhampur district,78353
Jammu & Kashmir,2022,1,bandipore district,32427
Jammu & Kashmir,2022,1,reasi district,37052
Jammu & Kashmir,2022,1,shopian district,22173
Jammu & Kashmir,2022,1,poonch district,38315
Jammu & Kashmir,2022,1,kathua district,83944
Jammu & Kashmir,2022,1,kishtwar district,16418
Jammu & Kashmir,2022,1,pulwama district,61306
Jammu & Kashmir,2022,1,ramban district,22686
Jammu & Kashmir,2022,1,rajouri district,63232
Jammu & Kashmir,2022,1,kulgam district,42103
Jammu & Kashmir,2022,1,budgam district,88994
Jammu & Kashmir,2022,1,anantnag district,80434
Jammu & Kashmir,2022,1,kupwara district,78894
Jammu & Kashmir,2022,2,muzaffarabad district,569
Jammu & Kashmir,2022,2,doda district,37779
Jammu & Kashmir,2022,2,samba district,74186
Jammu & Kashmir,2022,2,mirpur district,7601
Jammu & Kashmir,2022,2,srinagar district,146169
Jammu & Kashmir,2022,2,baramulla district,126067
Jammu & Kashmir,2022,2,jammu district,423398
Jammu & Kashmir,2022,2,ganderbal district,31111
Jammu & Kashmir,2022,2,udhampur district,82705
Jammu & Kashmir,2022,2,bandipore district,34244
Jammu & Kashmir,2022,2,reasi district,39173
Jammu & Kashmir,2022,2,shopian district,23465
Jammu & Kashmir,2022,2,poonch district,40606
Jammu & Kashmir,2022,2,kathua district,88764
Jammu & Kashmir,2022,2,kishtwar district,17326
Jammu & Kashmir,2022,2,pulwama district,64808
Jammu & Kashmir,2022,2,ramban district,24052
Jammu & Kashmir,2022,2,rajouri district,66893
Jammu & Kashmir,2022,2,kulgam district,44393
Jammu & Kashmir,2022,2,budgam district,93893
Jammu & Kashmir,2022,2,anantnag district,84898
Jammu & Kashmir,2022,2,kupwara district,83470
Jammu & Kashmir,2022,3,muzaffarabad district,592
Jammu & Kashmir,2022,3,doda district,39659
Jammu & Kashmir,2022,3,samba district,78092
Jammu & Kashmir,2022,3,mirpur district,7926
Jammu & Kashmir,2022,3,srinagar district,153729
Jammu & Kashmir,2022,3,baramulla district,132526
Jammu & Kashmir,2022,3,jammu district,445345
Jammu & Kashmir,2022,3,ganderbal district,32688
Jammu & Kashmir,2022,3,udhampur district,86915
Jammu & Kashmir,2022,3,bandipore district,36029
Jammu & Kashmir,2022,3,reasi district,41108
Jammu & Kashmir,2022,3,shopian district,24676
Jammu & Kashmir,2022,3,poonch district,42653
Jammu & Kashmir,2022,3,kathua district,93084
Jammu & Kashmir,2022,3,kishtwar district,18168
Jammu & Kashmir,2022,3,pulwama district,68004
Jammu & Kashmir,2022,3,ramban district,25296
Jammu & Kashmir,2022,3,rajouri district,70231
Jammu & Kashmir,2022,3,kulgam district,46715
Jammu & Kashmir,2022,3,budgam district,98698
Jammu & Kashmir,2022,3,anantnag district,89184
Jammu & Kashmir,2022,3,kupwara district,87867
Jammu & Kashmir,2022,4,muzaffarabad district,598
Jammu & Kashmir,2022,4,doda district,41227
Jammu & Kashmir,2022,4,samba district,81447
Jammu & Kashmir,2022,4,mirpur district,8110
Jammu & Kashmir,2022,4,srinagar district,160924
Jammu & Kashmir,2022,4,baramulla district,138215
Jammu & Kashmir,2022,4,jammu district,465635
Jammu & Kashmir,2022,4,ganderbal district,34020
Jammu & Kashmir,2022,4,udhampur district,90677
Jammu & Kashmir,2022,4,bandipore district,37554
Jammu & Kashmir,2022,4,reasi district,42686
Jammu & Kashmir,2022,4,shopian district,25639
Jammu & Kashmir,2022,4,poonch district,44253
Jammu & Kashmir,2022,4,kathua district,96688
Jammu & Kashmir,2022,4,kishtwar district,18904
Jammu & Kashmir,2022,4,pulwama district,70875
Jammu & Kashmir,2022,4,ramban district,26335
Jammu & Kashmir,2022,4,rajouri district,72921
Jammu & Kashmir,2022,4,kulgam district,48872
Jammu & Kashmir,2022,4,budgam district,103056
Jammu & Kashmir,2022,4,anantnag district,93107
Jammu & Kashmir,2022,4,kupwara district,91691
Jharkhand,2018,1,ramgarh district,37875
Jharkhand,2018,1,ranchi district,159444
Jharkhand,2018,1,east singhbhum district,103016
Jharkhand,2018,1,jamtara district,10659
Jharkhand,2018,1,dumka district,16027
Jharkhand,2018,1,koderma district,21423
Jharkhand,2018,1,hazaribagh district,56421
Jharkhand,2018,1,simdega district,2983
Jharkhand,2018,1,garhwa district,14981
Jharkhand,2018,1,saraikela kharsawan district,31177
Jharkhand,2018,1,gumla district,6616
Jharkhand,2018,1,chatra district,11805
Jharkhand,2018,1,khunti district,4037
Jharkhand,2018,1,dhanbad district,130195
Jharkhand,2018,1,godda district,16608
Jharkhand,2018,1,deoghar district,35229
Jharkhand,2018,1,palamu district,31788
Jharkhand,2018,1,latehar district,7580
Jharkhand,2018,1,west singhbhum district,15529
Jharkhand,2018,1,pakur district,6846
Jharkhand,2018,1,lohardaga district,5431
Jharkhand,2018,1,sahebganj district,12479
Jharkhand,2018,1,giridih district,45940
Jharkhand,2018,1,bokaro district,101673
Jharkhand,2018,2,ramgarh district,51846
Jharkhand,2018,2,ranchi district,216019
Jharkhand,2018,2,east singhbhum district,142493
Jharkhand,2018,2,jamtara district,15754
Jharkhand,2018,2,dumka district,22385
Jharkhand,2018,2,koderma district,28998
Jharkhand,2018,2,hazaribagh district,78856
Jharkhand,2018,2,simdega district,4315
Jharkhand,2018,2,garhwa district,22429
Jharkhand,2018,2,saraikela kharsawan district,43186
Jharkhand,2018,2,gumla district,9302
Jharkhand,2018,2,chatra district,17229
Jharkhand,2018,2,khunti district,5835
Jharkhand,2018,2,dhanbad district,181348
Jharkhand,2018,2,godda district,23746
Jharkhand,2018,2,deoghar district,50575
Jharkhand,2018,2,palamu district,45659
Jharkhand,2018,2,latehar district,11032
Jharkhand,2018,2,west singhbhum district,22297
Jharkhand,2018,2,pakur district,9475
Jharkhand,2018,2,lohardaga district,7702
Jharkhand,2018,2,sahebganj district,17195
Jharkhand,2018,2,giridih district,63248
Jharkhand,2018,2,bokaro district,139675
Jharkhand,2018,3,ramgarh district,63704
Jharkhand,2018,3,ranchi district,265341
Jharkhand,2018,3,east singhbhum district,176668
Jharkhand,2018,3,jamtara district,20471
Jharkhand,2018,3,dumka district,28400
Jharkhand,2018,3,koderma district,36314
Jharkhand,2018,3,hazaribagh district,99502
Jharkhand,2018,3,simdega district,5759
Jharkhand,2018,3,garhwa district,30199
Jharkhand,2018,3,saraikela kharsawan district,54706
Jharkhand,2018,3,gumla district,12095
Jharkhand,2018,3,chatra district,22931
Jharkhand,2018,3,khunti district,8026
Jharkhand,2018,3,dhanbad district,219103
Jharkhand,2018,3,godda district,30225
Jharkhand,2018,3,deoghar district,63814
Jharkhand,2018,3,palamu district,59382
Jharkhand,2018,3,latehar district,14871
Jharkhand,2018,3,west singhbhum district,29036
Jharkhand,2018,3,pakur district,12107
Jharkhand,2018,3,lohardaga district,10207
Jharkhand,2018,3,sahebganj district,21878
Jharkhand,2018,3,giridih district,80440
Jharkhand,2018,3,bokaro district,167183
Jharkhand,2018,4,ramgarh district,78772
Jharkhand,2018,4,ranchi district,326599
Jharkhand,2018,4,east singhbhum district,217406
Jharkhand,2018,4,jamtara district,26309
Jharkhand,2018,4,dumka district,36099
Jharkhand,2018,4,koderma district,45333
Jharkhand,2018,4,hazaribagh district,126167
Jharkhand,2018,4,simdega district,7712
Jharkhand,2018,4,garhwa district,40041
Jharkhand,2018,4,saraikela kharsawan district,68611
Jharkhand,2018,4,gumla district,15753
Jharkhand,2018,4,chatra district,30596
Jharkhand,2018,4,khunti district,10206
Jharkhand,2018,4,dhanbad district,268439
Jharkhand,2018,4,godda district,38887
Jharkhand,2018,4,deoghar district,80669
Jharkhand,2018,4,palamu district,77478
Jharkhand,2018,4,latehar district,19320
Jharkhand,2018,4,west singhbhum district,37405
Jharkhand,2018,4,pakur district,15419
Jharkhand,2018,4,lohardaga district,13230
Jharkhand,2018,4,sahebganj district,28138
Jharkhand,2018,4,giridih district,103118
Jharkhand,2018,4,bokaro district,202242
Jharkhand,2019,1,ramgarh district,93606
Jharkhand,2019,1,ranchi district,386608
Jharkhand,2019,1,east singhbhum district,256344
Jharkhand,2019,1,jamtara district,31881
Jharkhand,2019,1,dumka district,43171
Jharkhand,2019,1,koderma district,54059
Jharkhand,2019,1,hazaribagh district,151904
Jharkhand,2019,1,simdega district,9604
Jharkhand,2019,1,garhwa district,49830
Jharkhand,2019,1,saraikela kharsawan district,81052
Jharkhand,2019,1,gumla district,19367
Jharkhand,2019,1,chatra district,38103
Jharkhand,2019,1,khunti district,12464
Jharkhand,2019,1,dhanbad district,313255
Jharkhand,2019,1,godda district,47481
Jharkhand,2019,1,deoghar district,97449
Jharkhand,2019,1,palamu district,94917
Jharkhand,2019,1,latehar district,23885
Jharkhand,2019,1,west singhbhum district,45300
Jharkhand,2019,1,pakur district,19057
Jharkhand,2019,1,lohardaga district,16058
Jharkhand,2019,1,sahebganj district,34076
Jharkhand,2019,1,giridih district,123889
Jharkhand,2019,1,bokaro district,235969
Jharkhand,2019,2,ramgarh district,106681
Jharkhand,2019,2,ranchi district,441616
Jharkhand,2019,2,east singhbhum district,293761
Jharkhand,2019,2,jamtara district,38190
Jharkhand,2019,2,dumka district,49461
Jharkhand,2019,2,koderma district,61305
Jharkhand,2019,2,hazaribagh district,174278
Jharkhand,2019,2,simdega district,11491
Jharkhand,2019,2,garhwa district,58146
Jharkhand,2019,2,saraikela kharsawan district,91579
Jharkhand,2019,2,gumla district,22928
Jharkhand,2019,2,chatra district,44677
Jharkhand,2019,2,khunti district,14727
Jharkhand,2019,2,dhanbad district,350861
